Cu,Ni,Al,r,del_r,del_EN,S,VEC
0.0,0.0,1.0,1.43,0.0,0.0,-0.0,3.0
0.0,0.02,0.98,1.4262,0.018650960594587,0.041999999999999975,0.8150971878076918,2.98
0.0,0.04,0.96,1.4223999999999999,0.026175649669786503,0.05878775382679624,1.3962876442619143,2.96
0.0,0.06,0.94,1.4185999999999999,0.03180776817337098,0.07124605252222746,1.8870079820700256,2.94
0.0,0.08,0.92,1.4148,0.036433211670732296,0.08138795979750317,2.3176885568840357,2.9200000000000004
0.0,0.1,0.9,1.411,0.04039688164422395,0.08999999999999996,2.7027398407765,2.9000000000000004
0.0,0.12,0.88,1.4072,0.04387627336216119,0.09748846085563147,3.050614377441308,2.88
0.0,0.14,0.86,1.4034,0.04697701010190277,0.10409610943738477,3.366866414821585,2.8600000000000003
0.0,0.16,0.84,1.3995999999999997,0.0497678983733415,0.1099818166789401,3.6554153773427656,2.84
0.0,0.18,0.82,1.3958,0.05229661578072393,0.11525623627379121,3.9191654493391233,2.82
0.0,0.2,0.8,1.392,0.05459770114942528,0.11999999999999994,4.160345749296494,2.8000000000000003
0.0,0.22,0.78,1.3881999999999999,0.05669701604479923,0.12427389106324781,4.380712791340496,2.78
0.0,0.24,0.76,1.3843999999999999,0.0586144139811023,0.12812493902437566,4.581678522115092,2.7600000000000002
0.0,0.26,0.74,1.3806,0.06036542543673255,0.13159027319676778,4.764395209030629,2.7399999999999998
0.0,0.28,0.72,1.3767999999999998,0.061962368113339494,0.13469966592386182,4.929813881258303,2.72
0.0,0.3,0.7,1.3729999999999998,0.0634151043001901,0.13747727084867511,5.078725807284385,2.6999999999999997
0.0,0.32,0.68,1.3692,0.06473157230619968,0.13994284547628713,5.211792670257152,2.68
0.0,0.34,0.66,1.3654,0.06591816796959511,0.14211263138792404,5.329568963103927,2.66
0.0,0.36,0.64,1.3616,0.06698002350176262,0.1439999999999999,5.432518871514836,2.6399999999999997
0.0,0.38,0.62,1.3578,0.06792121399049063,0.14561593319413907,5.521029148253994,2.62
0.0,0.4,0.6,1.354,0.06874491154044372,0.1469693845669906,5.595418999514958,2.5999999999999996
0.0,0.42,0.58,1.3501999999999998,0.06945350049053713,0.1480675521510367,5.655947689597564,2.5799999999999996
0.0,0.44,0.56,1.3464,0.0700486628858664,0.1489160837518902,5.702820359298228,2.56
0.0,0.46,0.54,1.3426,0.07053144051636077,0.14951922953252525,5.736192407823133,2.54
0.0,0.48,0.52,1.3388,0.07090227784258711,0.14987995196156148,5.756172684385939,2.52
0.0,0.5,0.5,1.335,0.07116104868913853,0.1499999999999999,5.762825659175385,2.5
0.0,0.52,0.48,1.3312,0.07130706849132783,0.14987995196156148,5.756172684385939,2.48
0.0,0.54,0.46,1.3274000000000001,0.07133909299176289,0.14951922953252525,5.736192407823133,2.46
0.0,0.56,0.44,1.3235999999999999,0.07125530349768092,0.1489160837518902,5.702820359298228,2.4400000000000004
0.0,0.58,0.42,1.3197999999999999,0.07105327804388792,0.1480675521510367,5.655947689597564,2.42
0.0,0.6,0.4,1.3159999999999998,0.07072994698006142,0.1469693845669906,5.595418999514958,2.4000000000000004
0.0,0.62,0.38,1.3122,0.07028153052605407,0.14561593319413907,5.521029148253994,2.38
0.0,0.64,0.36,1.3083999999999998,0.06970345460103944,0.1439999999999999,5.432518871514836,2.3600000000000003
0.0,0.66,0.34,1.3046,0.06899023957204138,0.14211263138792404,5.329568963103927,2.34
0.0,0.68,0.32,1.3008000000000002,0.06813535424480972,0.13994284547628713,5.211792670257152,2.3200000000000003
0.0,0.7,0.3,1.297,0.06713102405872086,0.13747727084867511,5.078725807284385,2.3
0.0,0.72,0.28,1.2932,0.06596797743461633,0.13469966592386182,4.929813881258303,2.2800000000000002
0.0,0.74,0.26,1.2894,0.0646351065285815,0.13159027319676778,4.764395209030629,2.26
0.0,0.76,0.24,1.2856,0.06311900646813774,0.12812493902437566,4.581678522115092,2.24
0.0,0.78,0.22,1.2818,0.06140333723934335,0.12427389106324781,4.380712791340496,2.22
0.0,0.8,0.2,1.278,0.05946791862284817,0.11999999999999994,4.160345749296494,2.2
0.0,0.82,0.18,1.2742,0.05728740881081026,0.11525623627379121,3.9191654493391233,2.1799999999999997
0.0,0.84,0.16,1.2704,0.054829306173904864,0.1099818166789401,3.6554153773427656,2.16
0.0,0.86,0.14,1.2666,0.052050794234178396,0.10409610943738477,3.366866414821585,2.14
0.0,0.88,0.12,1.2628,0.04889348422175586,0.09748846085563147,3.050614377441308,2.12
0.0,0.9,0.1,1.2590000000000001,0.04527402700555993,0.08999999999999996,2.7027398407765,2.1
0.0,0.92,0.08,1.2552,0.04106573284875083,0.08138795979750317,2.3176885568840357,2.08
0.0,0.94,0.06,1.2513999999999998,0.036057615415330105,0.07124605252222746,1.8870079820700256,2.06
0.0,0.96,0.04,1.2475999999999998,0.029843094012747942,0.05878775382679624,1.3962876442619143,2.04
0.0,0.98,0.02,1.2438,0.021386074931661034,0.041999999999999975,0.8150971878076918,2.02
0.0,1.0,0.0,1.24,0.0,0.0,-0.0,2.0
0.02,0.0,0.98,1.427,0.014716187806587226,0.040599999999999976,0.8150971878076918,2.96
0.02,0.02,0.96,1.4231999999999998,0.023575286088263914,0.05781660661090372,1.6268006706289297,2.94
0.02,0.04,0.94,1.4193999999999998,0.02973754939319977,0.07046389146222336,2.20452670978221,2.92
0.02,0.06,0.92,1.4156000000000002,0.03466932556193113,0.08071901882456198,2.691708908272897,2.9000000000000004
0.02,0.08,0.9,1.4118,0.03883973020335625,0.08940894809805107,3.11877441570615,2.8800000000000003
0.02,0.1,0.88,1.408,0.042471353374221726,0.09695545368879457,3.500130284303043,2.8600000000000003
0.02,0.12,0.86,1.4042,0.04569068888094644,0.1036086868944877,3.844225404656561,2.84
0.02,0.14,0.84,1.4003999999999999,0.0485777131066493,0.10953154796678438,4.156610116652528,2.8200000000000003
0.02,0.16,0.82,1.3965999999999998,0.0511866973627426,0.11483710201846781,4.441199657410138,2.8
0.02,0.18,0.8,1.3927999999999998,0.05355635933803582,0.11960752484689241,4.700893717451795,2.7800000000000002
0.02,0.2,0.78,1.389,0.05571535612367416,0.12390464075247537,4.937916584280041,2.76
0.02,0.22,0.76,1.3852,0.057685492860247725,0.12777621061840885,5.154019569266032,2.74
0.02,0.24,0.74,1.3814,0.05948371053462274,0.13125989486511094,5.350609005372801,2.7199999999999998
0.02,0.26,0.72,1.3776,0.06112337606706438,0.1343858623516625,5.528831090953099,2.7
0.02,0.28,0.7,1.3738,0.06261515153905704,0.13717856975490006,5.689630280115564,2.6799999999999997
0.02,0.3,0.68,1.37,0.06396759795680775,0.13965801086940904,5.8337907024125135,2.66
0.02,0.32,0.66,1.3662,0.06518760509667805,0.1418406147758814,5.961966271803785,2.64
0.02,0.34,0.64,1.3624,0.06628070358262204,0.14373990399328912,6.074703005324023,2.62
0.02,0.36,0.62,1.3586,0.06725129481835705,0.14536698387185437,6.172455817660577,2.5999999999999996
0.02,0.38,0.6,1.3548,0.06810282201837921,0.14673091017232864,6.255601292785992,2.58
0.02,0.4,0.58,1.351,0.06883789785344185,0.14783896644660358,6.324447450504078,2.5599999999999996
0.02,0.42,0.56,1.3472,0.0694583992438481,0.14869687286557162,6.379241210637819,2.54
0.02,0.44,0.54,1.3434,0.06996553652030581,0.14930894146031568,6.420174045813954,2.52
0.02,0.46,0.52,1.3396,0.0703599018947334,0.14967818812372086,6.447386167064016,2.5
0.02,0.48,0.5,1.3357999999999999,0.07064150055769416,0.14980640840765114,6.460969481306342,2.48
0.02,0.5,0.48,1.3319999999999999,0.07080976650181137,0.1496942216653668,6.460969481306342,2.46
0.02,0.52,0.46,1.3282,0.07086356419980895,0.14934108610827757,6.447386167064016,2.4400000000000004
0.02,0.54,0.44,1.3244,0.07080117642616594,0.1487452856395791,6.420174045813954,2.42
0.02,0.56,0.42,1.3205999999999998,0.07062027771083158,0.14790388771090493,6.379241210637819,2.4000000000000004
0.02,0.58,0.4,1.3167999999999997,0.07031789206753492,0.1468126697529882,6.324447450504078,2.38
0.02,0.6,0.38,1.313,0.06989033265659508,0.14546600977547977,6.255601292785992,2.3600000000000003
0.02,0.62,0.36,1.3092,0.06933311980876435,0.1438567342879713,6.172455817660577,2.34
0.02,0.64,0.34,1.3054,0.0686408721943521,0.14197591345013413,6.074703005324024,2.3200000000000003
0.02,0.66,0.32,1.3016,0.06780716363514525,0.13981258884664133,5.961966271803785,2.3
0.02,0.68,0.3,1.2978,0.06682433475733152,0.1373534127715798,5.8337907024125135,2.2800000000000002
0.02,0.7,0.28,1.294,0.06568324377395912,0.1345821682096108,5.689630280115564,2.26
0.02,0.72,0.26,1.2902,0.06437293316108132,0.13147912381819396,5.528831090953099,2.24
0.02,0.74,0.24,1.2864,0.06288017710578295,0.12802015466324035,5.350609005372801,2.2199999999999998
0.02,0.76,0.22,1.2826,0.06118885520328229,0.12417552093709928,5.154019569266032,2.2
0.02,0.78,0.2,1.2788,0.0592790650286786,0.11990813150074511,4.937916584280041,2.18
0.02,0.8,0.18,1.275,0.05712582818707493,0.11517100329510022,4.700893717451795,2.16
0.02,0.82,0.16,1.2711999999999999,0.054697136784495316,0.10990341213993307,4.441199657410138,2.1399999999999997
0.02,0.84,0.14,1.2673999999999999,0.05195087536744437,0.10402480473425552,4.156610116652528,2.12
0.02,0.86,0.12,1.2636,0.048829705244684614,0.09742463754102444,3.8442254046565614,2.1
0.02,0.88,0.1,1.2598,0.04525196097052682,0.08994420492727694,3.5001302843030424,2.08
0.02,0.9,0.08,1.2560000000000002,0.041093910511350105,0.08134101056662618,3.1187744157061505,2.06
0.02,0.92,0.06,1.2522000000000002,0.03615049392433494,0.07120926905958236,2.6917089082728975,2.04
0.02,0.94,0.04,1.2484,0.0300297968955078,0.05876359417190201,2.20452670978221,2.02
0.02,0.96,0.02,1.2446,0.021750777529066106,0.041994761578082546,1.6268006706289297,2.0
0.02,0.98,0.0,1.2408000000000001,0.004513217279174728,0.0014000000000000013,0.8150971878076918,1.98
0.04,0.0,0.96,1.4239999999999997,0.020641767495363863,0.05682816203256969,1.3962876442619143,2.92
0.04,0.02,0.94,1.4202,0.027505659756519547,0.06967237616157493,2.20452670978221,2.9
0.04,0.04,0.92,1.4164,0.0328053311572249,0.08004398790665038,2.7787146096180657,2.8800000000000003
0.04,0.06,0.9,1.4125999999999999,0.0372126074435899,0.08881351248543203,3.262281740727996,2.8600000000000003
0.04,0.08,0.88,1.4088,0.041013822721730556,0.09641908524768314,3.685651832865677,2.8400000000000003
0.04,0.1,0.86,1.405,0.044362824319565584,0.10311857252697007,4.063228285151281,2.8200000000000003
0.04,0.12,0.84,1.4011999999999998,0.04735354676504472,0.10907905390128751,4.403456080120489,2.8
0.04,0.14,0.82,1.3973999999999998,0.05004823284729146,0.11441608278559437,4.711881370352884,2.78
0.04,0.16,0.8,1.3936,0.05249053038161253,0.11921342206312166,4.992414899155793,2.7600000000000002
0.04,0.18,0.78,1.3898,0.054712333009517326,0.12353396294137083,5.2479515260683245,2.7399999999999998
0.04,0.2,0.76,1.3860000000000001,0.05673767172103173,0.12742621394359946,5.480710335838562,2.72
0.04,0.22,0.74,1.3822,0.05858507656415494,0.13092837736716964,5.692437026156727,2.6999999999999997
0.04,0.24,0.72,1.3783999999999998,0.06026908441556731,0.13407102595266426,5.884531860928256,2.68
0.04,0.26,0.7,1.3746,0.06180124140797319,0.13687892460126933,6.058134463443345,2.6599999999999997
0.04,0.28,0.68,1.3708,0.06319079163648278,0.13937230714887366,6.214182148876677,2.64
0.04,0.3,0.66,1.367,0.06444516309944999,0.14156779294740726,6.3534512775921295,2.62
0.04,0.32,0.64,1.3632,0.06557031795053246,0.1434790577052971,6.476587287656865,2.6
0.04,0.34,0.62,1.3594,0.06657100910070646,0.14511733183875722,6.584126925102747,2.58
0.04,0.36,0.6,1.3556,0.06745097032121118,0.14649177451311038,6.676514935825558,2.5599999999999996
0.04,0.38,0.58,1.3518,0.068213057818945,0.14760975577515184,6.754116717408096,2.54
0.04,0.4,0.56,1.348,0.0688593554057703,0.14847706893658688,6.817227945177318,2.5200000000000005
0.04,0.42,0.54,1.3441999999999998,0.06939125153510467,0.1490980885189343,6.8660818707865285,2.5
0.04,0.44,0.52,1.3404,0.06980949386415244,0.14947588434259212,6.900854778687821,2.48
0.04,0.46,0.5,1.3366,0.07011422515647614,0.1496122989596777,6.921669937617403,2.46
0.04,0.48,0.48,1.3327999999999998,0.07030500297922024,0.1495079930973591,6.9286002770702835,2.44
0.04,0.5,0.46,1.3290000000000002,0.0703808045837327,0.1491624617656868,6.921669937617403,2.42
0.04,0.52,0.44,1.3252000000000002,0.07034001745585917,0.14857402195538752,6.900854778687821,2.4000000000000004
0.04,0.54,0.42,1.3214000000000001,0.07018041518105994,0.14773977121953308,6.8660818707865285,2.38
0.04,0.56,0.4,1.3176,0.06989911739943473,0.14665551472754093,6.817227945177318,2.3600000000000003
0.04,0.58,0.38,1.3138,0.069492531632334,0.14531565641733163,6.754116717408096,2.34
0.04,0.6,0.36,1.31,0.06895627353060285,0.14371304742437263,6.676514935825558,2.3200000000000003
0.04,0.62,0.34,1.3062,0.06828506046769046,0.14183878172065628,6.584126925102747,2.3
0.04,0.64,0.32,1.3024,0.06747257114721632,0.13968192438536914,6.476587287656865,2.2800000000000002
0.04,0.66,0.3,1.2986,0.06651126065367986,0.13722915142199188,6.3534512775921295,2.26
0.04,0.68,0.28,1.2948000000000002,0.06539211556329068,0.13446427034718175,6.214182148876677,2.24
0.04,0.7,0.26,1.291,0.06410432637087708,0.13136757590821252,6.058134463443345,2.2199999999999998
0.04,0.72,0.24,1.2872,0.06263484287970478,0.1279149717585865,5.884531860928256,2.2
0.04,0.74,0.22,1.2833999999999999,0.060967759282465055,0.1240767504410072,5.692437026156727,2.18
0.04,0.76,0.2,1.2796,0.05908344368280965,0.11981585871661557,5.480710335838562,2.16
0.04,0.78,0.18,1.2757999999999998,0.05695727043783374,0.11508535962493224,5.2479515260683245,2.14
0.04,0.8,0.16,1.2719999999999998,0.054557709348734156,0.10982458741101642,4.992414899155793,2.12
0.04,0.82,0.14,1.2681999999999998,0.05184332091115675,0.10395306633284074,4.711881370352884,2.1
0.04,0.84,0.12,1.2643999999999997,0.04875777514758967,0.0973603615441109,4.403456080120489,2.08
0.04,0.86,0.1,1.2606,0.04522101678458403,0.08988793022425197,4.063228285151281,2.06
0.04,0.88,0.08,1.2568,0.041112126304794994,0.08129354217894551,3.685651832865677,2.04
0.04,0.9,0.06,1.2530000000000001,0.036231634358551215,0.07117190456914858,3.2622817407279965,2.02
0.04,0.92,0.04,1.2491999999999999,0.030201283695297065,0.058738743602497964,2.7787146096180657,2.0
0.04,0.94,0.02,1.2453999999999998,0.022089870869826233,0.04198856987324048,2.20452670978221,1.98
0.04,0.96,0.0,1.2415999999999998,0.006313117893771077,0.001959591794226544,1.3962876442619143,1.96
0.06,0.0,0.94,1.4209999999999998,0.02506898399796881,0.06887118410481988,1.8870079820700256,2.88
0.06,0.02,0.92,1.4172,0.030823095379251354,0.07936271164722128,2.691708908272897,2.8600000000000003
0.06,0.04,0.9,1.4134,0.03550591567475056,0.08821360439297325,3.262281740727996,2.8400000000000003
0.06,0.06,0.88,1.4096,0.03949787653755931,0.09587929912134313,3.742153456542354,2.8200000000000003
0.06,0.08,0.86,1.4058,0.04298958472813894,0.10262572776843039,4.161744132368746,2.8000000000000003
0.06,0.1,0.84,1.4019999999999997,0.046092708762920126,0.10862430667212558,4.53545325927004,2.7800000000000002
0.06,0.12,0.82,1.3981999999999999,0.04887924379322532,0.1139931576893981,4.871721632475676,2.76
0.06,0.14,0.8,1.3943999999999999,0.05139870660797479,0.11881767545277085,5.17609091075337,2.74
0.06,0.16,0.78,1.3906,0.05368676458093157,0.12316184474097479,5.452467006427155,2.7199999999999998
0.06,0.18,0.76,1.3868,0.05577000188401046,0.12707493852054377,5.703739576281678,2.7
0.06,0.2,0.74,1.383,0.05766874730756443,0.13059571202761588,5.932122091384087,2.6799999999999997
0.06,0.22,0.72,1.3791999999999998,0.05939884757395773,0.1337551494335825,6.139354180367012,2.66
0.06,0.24,0.7,1.3754,0.06097282939402269,0.13657832917414087,6.326829532073333,2.6399999999999997
0.06,0.26,0.68,1.3716,0.062400688474748126,0.13908572895879712,6.495680630859289,2.62
0.06,0.28,0.66,1.3678,0.06369044087001303,0.14129416123817706,6.646837022711124,2.6
0.06,0.3,0.64,1.3639999999999999,0.06484851726538404,0.1432174570364939,6.781066592100041,2.58
0.06,0.32,0.62,1.3601999999999999,0.06588005005138288,0.1448669734618625,6.899005506090419,2.5599999999999996
0.06,0.34,0.6,1.3564,0.06678908503309906,0.14625197434564763,7.001180341922562,2.54
0.06,0.36,0.58,1.3525999999999998,0.06757873866626063,0.14737991722076646,7.088024659102494,2.5199999999999996
0.06,0.38,0.56,1.3488000000000002,0.06825131480918338,0.1482566693272177,7.159891510736166,2.5
0.06,0.4,0.54,1.345,0.0688083904917463,0.14888666830848213,7.2170629039808585,2.4800000000000004
0.06,0.42,0.52,1.3412,0.06925087718682531,0.14927303842288456,7.259756902315227,2.46
0.06,0.44,0.5,1.3374,0.06957906196936454,0.1494176696378309,7.288132847896039,2.44
0.06,0.46,0.48,1.3336,0.06979263142051104,0.1493212643932537,7.3022950320361755,2.42
0.06,0.48,0.46,1.3298,0.06989067995815061,0.14898335477495456,7.3022950320361755,2.4000000000000004
0.06,0.5,0.44,1.326,0.06987170329955036,0.1484022910874356,7.28813284789604,2.38
0.06,0.52,0.42,1.3222,0.06973357687308025,0.14757520116875997,7.259756902315227,2.3600000000000003
0.06,0.54,0.4,1.3184,0.06947351809682542,0.14649791807394388,7.2170629039808585,2.3400000000000003
0.06,0.56,0.38,1.3146,0.06908803043405454,0.1451648717837755,7.159891510736167,2.3200000000000003
0.06,0.58,0.36,1.3108,0.06857282590265798,0.14356893814471142,7.088024659102493,2.3
0.06,0.6,0.34,1.307,0.06792272110165624,0.14170123499814663,7.001180341922562,2.2800000000000002
0.06,0.62,0.32,1.3032,0.06713149959446994,0.13955085094688593,6.899005506090419,2.26
0.06,0.64,0.3,1.2993999999999999,0.06619173030260864,0.13710448570342246,6.781066592100041,2.24
0.06,0.66,0.28,1.2956,0.06509452684463873,0.13434597128310166,6.646837022711125,2.22
0.06,0.68,0.26,1.2918,0.0638292255497646,0.13125562845074484,6.495680630859289,2.2
0.06,0.7,0.24,1.2879999999999998,0.06238294852981568,0.12780938932644964,6.326829532073332,2.1799999999999997
0.06,0.72,0.22,1.2841999999999998,0.06073999973381968,0.12397757861807103,6.139354180367012,2.16
0.06,0.74,0.2,1.2804,0.05888101075929197,0.11972318071284267,5.932122091384087,2.14
0.06,0.76,0.18,1.2766000000000002,0.056781698391491935,0.11499930434572195,5.703739576281677,2.12
0.06,0.78,0.16,1.2728000000000002,0.05441099461427814,0.10974534158678438,5.452467006427155,2.1
0.06,0.8,0.14,1.269,0.051728111685662125,0.10388089333462622,5.176090910753372,2.08
0.06,0.82,0.12,1.2651999999999999,0.04867768860078279,0.09729563196773013,4.871721632475676,2.06
0.06,0.84,0.1,1.2613999999999999,0.04518121002475246,0.0898311749895324,4.53545325927004,2.04
0.06,0.86,0.08,1.2576,0.04112043133324992,0.08124555372449616,4.161744132368746,2.02
0.06,0.88,0.06,1.2538,0.03630115913847933,0.07113395813533782,3.7421534565423538,2.0
0.06,0.9,0.04,1.25,0.03035786553761643,0.05871320124128811,3.2622817407279965,1.98
0.06,0.92,0.02,1.2462,0.022404591327807623,0.041981424463683914,2.6917089082728975,1.9600000000000002
0.06,0.94,0.0,1.2424,0.0076460670232053555,0.0023748684174075855,1.8870079820700256,1.94
0.08,0.0,0.92,1.4180000000000001,0.028698152255819145,0.07867502780425306,2.3176885568840357,2.8400000000000003
0.08,0.02,0.9,1.4142,0.0337075925030308,0.08760913194410723,3.11877441570615,2.8200000000000003
0.08,0.04,0.88,1.4103999999999999,0.03791652856804965,0.09533603725769176,3.685651832865677,2.8000000000000003
0.08,0.06,0.86,1.4066,0.04156649141828649,0.10213011309109565,4.161744132368746,2.7800000000000002
0.08,0.08,0.84,1.4027999999999998,0.04479211968259811,0.10816727786165271,4.577467482810827,2.76
0.08,0.1,0.82,1.3989999999999998,0.04767750148864124,0.11356830543774078,4.94721718794855,2.74
0.08,0.12,0.8,1.3952,0.05027921052508682,0.11842026853541578,5.279429549199486,2.72
0.08,0.14,0.78,1.3914,0.05263734854908717,0.12278827305569527,5.579641394348056,2.6999999999999997
0.08,0.16,0.76,1.3876,0.05478144668031311,0.12672237371514147,5.8517534329638305,2.68
0.08,0.18,0.74,1.3838,0.05673388026134031,0.13026189005230954,6.098649708150525,2.6599999999999997
0.08,0.2,0.72,1.38,0.058511968806337175,0.1334382254078642,6.322537621917695,2.64
0.08,0.22,0.7,1.3761999999999999,0.06012933068904115,0.13627677718525624,6.525150227835412,2.6199999999999997
0.08,0.24,0.68,1.3724,0.06159679128285882,0.13879827088260133,6.7078740758126,2.6
0.08,0.26,0.66,1.3686,0.06292301096775452,0.1410197149337637,6.87183388101706,2.58
0.08,0.28,0.64,1.3648,0.06411493042848909,0.14295509784544227,7.017950713542359,2.56
0.08,0.3,0.62,1.361,0.0651780926778695,0.14461590507271313,7.146983186856919,2.54
0.08,0.32,0.6,1.3572,0.06611687932999318,0.14601150639590008,7.259557299233555,2.5199999999999996
0.08,0.34,0.58,1.3534,0.06693468549860643,0.1471494478413017,7.3561884415228205,2.5
0.08,0.36,0.56,1.3496000000000001,0.06763404951654982,0.14803567137686774,7.437297828753886,2.48
0.08,0.38,0.54,1.3458,0.06821674841372787,0.1486746784089341,7.503224845863031,2.46
0.08,0.4,0.52,1.342,0.06868386659793088,0.14906964815145962,7.55423631183288,2.44
0.08,0.42,0.5,1.3382,0.06903584277944957,0.14922251840791312,7.590533347846768,2.42
0.08,0.44,0.48,1.3344,0.0692724984562965,0.14913403367440972,7.612256318638135,2.4
0.08,0.46,0.46,1.3306,0.06939304997171436,0.14880376339326898,7.619488163325391,2.38
0.08,0.48,0.44,1.3268,0.06939610509473047,0.1482300914119666,7.612256318638135,2.3600000000000003
0.08,0.5,0.42,1.323,0.06927964413002101,0.14741017603951218,7.590533347846768,2.34
0.08,0.52,0.4,1.3192,0.06904098462941421,0.1463398783653997,7.55423631183288,2.3200000000000003
0.08,0.54,0.38,1.3154000000000001,0.06867672775094212,0.14501365452949586,7.503224845863031,2.3000000000000003
0.08,0.56,0.36,1.3115999999999999,0.06818268307402069,0.1434244051756882,7.437297828753886,2.2800000000000002
0.08,0.58,0.34,1.3078,0.0675537670752545,0.1415632720729497,7.3561884415228205,2.26
0.08,0.6,0.32,1.304,0.06678386827324309,0.1394193673777068,7.259557299233555,2.24
0.08,0.62,0.3,1.3002,0.0658656689160437,0.13697941451181625,7.146983186856919,2.2199999999999998
0.08,0.64,0.28,1.2964,0.06479040845411063,0.1342272699565926,7.017950713542358,2.2
0.08,0.66,0.26,1.2926000000000002,0.06354756698384509,0.13114328042259726,6.871833881017059,2.18
0.08,0.68,0.24,1.2888000000000002,0.06212443575220167,0.1277034063758676,6.7078740758126,2.16
0.08,0.7,0.22,1.2850000000000001,0.06050552378965028,0.12387800450443161,6.525150227835412,2.14
0.08,0.72,0.2,1.2812,0.05867171937570711,0.11963009654764968,6.322537621917696,2.12
0.08,0.74,0.18,1.2774,0.05659907172201891,0.11491283653273895,6.098649708150525,2.1
0.08,0.76,0.16,1.2736,0.054256959983246075,0.10966567375437032,5.85175343296383,2.08
0.08,0.78,0.14,1.2698,0.05160522483128081,0.10380828483314801,5.579641394348056,2.06
0.08,0.8,0.12,1.266,0.04858943601652352,0.09723044790599285,5.279429549199485,2.04
0.08,0.82,0.1,1.2622,0.04513255096714281,0.0897739383117394,4.94721718794855,2.02
0.08,0.84,0.08,1.2584,0.041118869324298535,0.08119704428118053,4.577467482810827,2.0
0.08,0.86,0.06,1.2546,0.036359178370468724,0.07109542882633169,4.161744132368746,1.98
0.08,0.88,0.04,1.2508,0.030499824797099746,0.05868696618500564,3.6856518328656764,1.96
0.08,0.9,0.02,1.247,0.02269602517736153,0.04197332486234558,3.1187744157061505,1.9400000000000002
0.08,0.92,0.0,1.2432,0.00872886741714966,0.00271293199325011,2.3176885568840357,1.9200000000000002
0.1,0.0,0.9,1.415,0.03180212014134272,0.08699999999999994,2.7027398407765,2.8000000000000003
0.1,0.02,0.88,1.4112,0.036261243814478254,0.09478923989567586,3.500130284303043,2.7800000000000002
0.1,0.04,0.86,1.4074,0.04008825433089766,0.10163168797181314,4.063228285151281,2.7600000000000002
0.1,0.06,0.84,1.4035999999999997,0.043448227636133166,0.10770793842609738,4.53545325927004,2.74
0.1,0.08,0.82,1.3998,0.04644048020856635,0.11314150432091657,4.94721718794855,2.7199999999999998
0.1,0.1,0.8,1.396,0.049130166760694136,0.11802118453904784,5.312910881131571,2.7
0.1,0.12,0.78,1.3921999999999999,0.051562644633669934,0.12241323457861891,5.640965809253383,2.6799999999999997
0.1,0.14,0.76,1.3883999999999999,0.05377086959937946,0.12636850873536484,5.936913597343944,2.66
0.1,0.16,0.74,1.3846,0.05577955845047644,0.1299269025259972,6.20464934129189,2.6399999999999997
0.1,0.18,0.72,1.3807999999999998,0.05760769438879446,0.13312024639400266,6.447051015143345,2.62
0.1,0.2,0.7,1.3769999999999998,0.059270115912100844,0.1359742622704752,6.666319445845307,2.5999999999999996
0.1,0.22,0.68,1.3732,0.06077856734399049,0.13850992744204285,6.86418054803389,2.58
0.1,0.24,0.66,1.3694,0.062142417160208144,0.14074444926887872,7.042013102429582,2.56
0.1,0.26,0.64,1.3656000000000001,0.06336916266361316,0.142691975948194,7.2009333483075055,2.54
0.1,0.28,0.62,1.3618,0.06446479225905034,0.14436412296689222,7.341853084758449,2.52
0.1,0.3,0.6,1.358,0.06543404975411792,0.14577036735907603,7.4655207564592665,2.5
0.1,0.32,0.58,1.3541999999999998,0.0662806292432385,0.14691834466805012,7.572551175293026,2.4799999999999995
0.1,0.34,0.56,1.3504,0.06700731938924942,0.14781407240178446,7.663447387633424,2.46
0.1,0.36,0.54,1.3466,0.06761610972701784,0.14846211637990336,7.738616940339963,2.44
0.1,0.38,0.52,1.3428,0.06810826754932951,0.14886571129712836,7.798384030174264,2.42
0.1,0.4,0.5,1.339,0.06848439117246899,0.14902684321960247,7.842998533823633,2.4
0.1,0.42,0.48,1.3352,0.06874444342367149,0.1489462990476768,7.872642595048076,2.38
0.1,0.44,0.46,1.3314,0.06888776773645232,0.14862368586466954,7.887435226386561,2.3600000000000003
0.1,0.46,0.44,1.3276,0.06891308807933909,0.14805742129322655,7.887435226386562,2.34
0.1,0.48,0.42,1.3237999999999999,0.06881849293376548,0.14724469430169623,7.872642595048075,2.3200000000000003
0.1,0.5,0.4,1.3199999999999998,0.06860140256164714,0.1461813941649209,7.842998533823632,2.3000000000000003
