Cu,Ni,Al,r,del_r,del_EN,S,VEC,resistivity
0.0,0.0,1.0,1.25,0.0,0.0,-0.0,3.0,446.50626
0.0,0.02,0.98,1.252,0.014,0.0419999999999999,0.8150971878076918,3.14,517.08777
0.0,0.04,0.96,1.254,0.0195959179422654,0.0587877538267962,1.3962876442619143,3.28,529.7186
0.0,0.06,0.94,1.2559999999999998,0.0237486841740758,0.0712460525222274,1.8870079820700256,3.42,531.4177
0.0,0.08,0.92,1.2580000000000002,0.027129319932501,0.0813879597975031,2.317688556884036,3.5600000000000005,518.8384
0.0,0.1,0.9,1.26,0.03,0.0899999999999999,2.7027398407765,3.7,504.47906
0.0,0.12,0.88,1.262,0.0324961536185438,0.0974884608556314,3.050614377441308,3.84,490.06754
0.0,0.14,0.86,1.264,0.0346987031457949,0.1040961094373847,3.366866414821585,3.98,472.9844
0.0,0.16,0.84,1.266,0.0366606055596467,0.1099818166789401,3.6554153773427656,4.12,446.64792
0.0,0.18,0.82,1.2679999999999998,0.0384187454245971,0.1152562362737912,3.9191654493391233,4.26,416.84866
0.0,0.2,0.8,1.27,0.04,0.1199999999999999,4.160345749296494,4.4,382.6733
0.0,0.22,0.78,1.2720000000000002,0.0414246303544159,0.1242738910632478,4.380712791340496,4.54,345.197
0.0,0.24,0.76,1.274,0.0427083130081252,0.1281249390243756,4.581678522115092,4.68,309.49734
0.0,0.26,0.74,1.276,0.0438634243989226,0.1315902731967677,4.764395209030629,4.82,272.95502
0.0,0.28,0.72,1.278,0.0448998886412873,0.1346996659238618,4.929813881258303,4.960000000000001,246.98029
0.0,0.3,0.7,1.28,0.0458257569495584,0.1374772708486751,5.078725807284385,5.1,219.22818
0.0,0.32,0.68,1.282,0.0466476151587624,0.1399428454762871,5.211792670257152,5.24,195.93207
0.0,0.34,0.66,1.2840000000000005,0.047370877129308,0.142112631387924,5.329568963103927,5.380000000000001,187.4357
0.0,0.36,0.64,1.286,0.048,0.1439999999999999,5.432518871514836,5.52,179.54965
0.0,0.38,0.62,1.288,0.0485386443980464,0.145615933194139,5.521029148253994,5.66,170.10385
0.0,0.4,0.6,1.29,0.0489897948556636,0.1469693845669906,5.595418999514958,5.8,160.18396
0.0,0.42,0.58,1.292,0.0493558507170123,0.1480675521510367,5.655947689597564,5.94,149.97522
0.0,0.44,0.56,1.294,0.0496386945839634,0.1489160837518902,5.702820359298228,6.08,146.17137
0.0,0.46,0.54,1.2960000000000005,0.0498397431775084,0.1495192295325252,5.736192407823133,6.220000000000001,148.20409
0.0,0.48,0.52,1.298,0.0499599839871872,0.1498799519615614,5.756172684385939,6.359999999999999,149.88593
0.0,0.5,0.5,1.3,0.05,0.1499999999999999,5.762825659175385,6.5,150.5622
0.0,0.52,0.48,1.302,0.0499599839871872,0.1498799519615614,5.756172684385939,6.640000000000001,148.76738
0.0,0.54,0.46,1.3040000000000005,0.0498397431775084,0.1495192295325252,5.736192407823133,6.78,143.60081
0.0,0.56,0.44,1.306,0.0496386945839634,0.1489160837518902,5.702820359298228,6.920000000000001,140.79594
0.0,0.58,0.42,1.308,0.0493558507170123,0.1480675521510367,5.655947689597564,7.06,141.10727
0.0,0.6,0.4,1.31,0.0489897948556636,0.1469693845669906,5.595418999514958,7.2,144.79361
0.0,0.62,0.38,1.312,0.0485386443980464,0.145615933194139,5.521029148253994,7.34,144.56052
0.0,0.64,0.36,1.314,0.048,0.1439999999999999,5.432518871514836,7.48,145.84784
0.0,0.66,0.34,1.3160000000000005,0.047370877129308,0.142112631387924,5.329568963103927,7.620000000000001,147.30138
0.0,0.68,0.32,1.318,0.0466476151587624,0.1399428454762871,5.211792670257152,7.760000000000001,150.18582
0.0,0.7,0.3,1.3199999999999998,0.0458257569495584,0.1374772708486751,5.078725807284385,7.9,148.73645
0.0,0.72,0.28,1.322,0.0448998886412873,0.1346996659238618,4.929813881258303,8.04,126.71339
0.0,0.74,0.26,1.324,0.0438634243989226,0.1315902731967677,4.764395209030629,8.18,85.40462
0.0,0.76,0.24,1.326,0.0427083130081252,0.1281249390243756,4.581678522115092,8.32,61.814484
0.0,0.78,0.22,1.3280000000000003,0.0414246303544159,0.1242738910632478,4.380712791340496,8.46,55.00333
0.0,0.8,0.2,1.33,0.04,0.1199999999999999,4.160345749296494,8.6,53.997787
0.0,0.82,0.18,1.332,0.0384187454245971,0.1152562362737912,3.9191654493391233,8.739999999999998,54.639896
0.0,0.84,0.16,1.334,0.0366606055596467,0.1099818166789401,3.6554153773427656,8.88,56.46922
0.0,0.86,0.14,1.336,0.0346987031457949,0.1040961094373847,3.366866414821585,9.02,58.622692
0.0,0.88,0.12,1.338,0.0324961536185438,0.0974884608556314,3.050614377441308,9.16,61.688824
0.0,0.9,0.1,1.34,0.03,0.0899999999999999,2.7027398407765,9.3,63.926228
0.0,0.92,0.08,1.3420000000000003,0.0271293199325011,0.0813879597975031,2.317688556884036,9.44,61.52699
0.0,0.94,0.06,1.344,0.0237486841740758,0.0712460525222274,1.8870079820700256,9.579999999999998,56.20384
