Cu,Ni,Al,r,del_r,del_EN,S,VEC,resistivity
0.0,0.0,1.0,1.25,0.0,0.0,-0.0,3.0,427.12402
0.0,0.02,0.98,1.252,0.014,0.0419999999999999,0.8150971878076918,3.14,578.22107
0.0,0.04,0.96,1.254,0.0195959179422654,0.0587877538267962,1.3962876442619143,3.28,548.87384
0.0,0.06,0.94,1.2559999999999998,0.0237486841740758,0.0712460525222274,1.8870079820700256,3.42,534.501
0.0,0.08,0.92,1.2580000000000002,0.027129319932501,0.0813879597975031,2.317688556884036,3.5600000000000005,478.60425
0.0,0.1,0.9,1.26,0.03,0.0899999999999999,2.7027398407765,3.7,424.40314
0.0,0.12,0.88,1.262,0.0324961536185438,0.0974884608556314,3.050614377441308,3.84,370.98654
0.0,0.14,0.86,1.264,0.0346987031457949,0.1040961094373847,3.366866414821585,3.98,317.28162
0.0,0.16,0.84,1.266,0.0366606055596467,0.1099818166789401,3.6554153773427656,4.12,271.73608
0.0,0.18,0.82,1.2679999999999998,0.0384187454245971,0.1152562362737912,3.9191654493391233,4.26,247.39174
0.0,0.2,0.8,1.27,0.04,0.1199999999999999,4.160345749296494,4.4,233.9988
0.0,0.22,0.78,1.2720000000000002,0.0414246303544159,0.1242738910632478,4.380712791340496,4.54,217.96312
0.0,0.24,0.76,1.274,0.0427083130081252,0.1281249390243756,4.581678522115092,4.68,218.74252
0.0,0.26,0.74,1.276,0.0438634243989226,0.1315902731967677,4.764395209030629,4.82,227.92291
0.0,0.28,0.72,1.278,0.0448998886412873,0.1346996659238618,4.929813881258303,4.960000000000001,243.6924
0.0,0.3,0.7,1.28,0.0458257569495584,0.1374772708486751,5.078725807284385,5.1,251.83153
0.0,0.32,0.68,1.282,0.0466476151587624,0.1399428454762871,5.211792670257152,5.24,256.59717
0.0,0.34,0.66,1.2840000000000005,0.047370877129308,0.142112631387924,5.329568963103927,5.380000000000001,265.2698
0.0,0.36,0.64,1.286,0.048,0.1439999999999999,5.432518871514836,5.52,248.56885
0.0,0.38,0.62,1.288,0.0485386443980464,0.145615933194139,5.521029148253994,5.66,232.83188
0.0,0.4,0.6,1.29,0.0489897948556636,0.1469693845669906,5.595418999514958,5.8,248.57149
0.0,0.42,0.58,1.292,0.0493558507170123,0.1480675521510367,5.655947689597564,5.94,275.26602
0.0,0.44,0.56,1.294,0.0496386945839634,0.1489160837518902,5.702820359298228,6.08,305.81516
0.0,0.46,0.54,1.2960000000000005,0.0498397431775084,0.1495192295325252,5.736192407823133,6.220000000000001,326.5011
0.0,0.48,0.52,1.298,0.0499599839871872,0.1498799519615614,5.756172684385939,6.359999999999999,339.68292
0.0,0.5,0.5,1.3,0.05,0.1499999999999999,5.762825659175385,6.5,340.32907
