Cu,Ni,Al,r,del_r,del_EN,S,VEC,resistivity
0.95,0.05,0.0,117.85,0.653834841531101,0.0021794494717703,1.6504557331775846,10.95,21.481833
0.95,0.0,0.05,118.35,1.5256146302392355,0.0632040346813397,1.6504557331775846,10.6,97.14413
0.0,0.95,0.05,115.5,2.179449471770337,0.06538348415311,1.6504557331775846,9.65,71.022804
0.05,0.95,0.0,115.15,0.653834841531101,0.0021794494717703,1.6504557331775846,10.05,-1.5832834
0.05,0.0,0.95,124.65,1.5256146302392355,0.0632040346813397,1.6504557331775846,3.3999999999999995,194.05498
0.0,0.05,0.95,124.5,2.179449471770337,0.06538348415311,1.6504557331775846,3.35,280.20786
0.33,0.33,0.33,118.14,4.334720752251518,0.1395891843947803,9.12524684966995,7.920000000000001,128.98721
0.95,0.025,0.025,118.1,1.2,0.0453431361950185,1.9385970161363544,10.775,70.26946
0.475,0.5,0.025,116.675,1.9923290390896784,0.0463404520910186,6.5880535257641775,10.3,15.60139
0.5,0.5,0.0,116.5,1.5,0.005,5.762825659175385,10.5,-30.102926
0.5,0.025,0.475,121.25,3.59687364248454,0.14506464076404,6.5880535257641775,7.175,263.2116
0.475,0.05,0.475,121.175,3.69382931386928,0.1453097983619823,7.125140109394201,7.15,258.24625
0.64,0.19,0.165,117.995,3.130634899664922,0.1088989163743147,7.469807188478533,9.435,63.562504
0.475,0.475,0.05,116.925,2.359952330027028,0.0644781939883554,7.1251401093942,10.125,31.659843
0.5,0.475,0.025,116.75,1.984313483298443,0.0463006479436303,6.5880535257641775,10.325,17.812178
0.5,0.0,0.5,121.5,3.5,0.1449999999999999,5.762825659175385,7.0,282.09512
0.475,0.025,0.5,121.425,3.604771143914687,0.1452581753293079,6.5880535257641775,6.975,269.02994
0.64,0.165,0.19,118.245,3.2319614593927315,0.1149305615904663,7.469807188478534,9.26,75.47587
0.0,0.5,0.5,120.0,5.0,0.1499999999999999,5.762825659175385,6.5,340.2308
0.165,0.64,0.19,116.82,3.881112984699104,0.1172374675605029,7.469807188478534,8.785,53.58627
0.05,0.475,0.475,119.9,4.8928519290900265,0.1493519333654572,7.125140109394201,6.725,275.82712
0.19,0.64,0.165,116.645,3.687640827819324,0.1109038682260451,7.469807188478533,8.985,42.05502
0.025,0.025,0.95,124.575,1.882651056356435,0.0643034796881163,1.938597016136354,3.375,241.20023
0.19,0.165,0.64,121.395,4.153943292222462,0.1410887415334759,7.469807188478533,5.66,231.24333
0.165,0.19,0.64,121.32,4.251457161962236,0.1414246400030772,7.469807188478533,5.635,232.95125
1.0,0.0,0.0,118.0,0.0,0.0,-0.0,11.0,49.1034
0.0,1.0,0.0,115.0,0.0,0.0,-0.0,10.0,16.175785
0.0,0.0,1.0,125.0,0.0,0.0,-0.0,3.0,-5.497019
