Cu,Ni,Al,r,del_r,del_EN,S,VEC
0.0,0.0,1.0,1.25,0.0,0.0,-0.0,3.0
0.0,0.02,0.98,1.252,0.014000000000000012,0.041999999999999975,0.8150971878076918,3.14
0.0,0.04,0.96,1.254,0.01959591794226544,0.05878775382679624,1.3962876442619143,3.28
0.0,0.06,0.94,1.2559999999999998,0.023748684174075853,0.07124605252222746,1.8870079820700256,3.42
0.0,0.08,0.92,1.2580000000000002,0.027129319932501096,0.08138795979750317,2.3176885568840357,3.5600000000000005
0.0,0.1,0.9,1.26,0.03000000000000003,0.08999999999999996,2.7027398407765,3.7
0.0,0.12,0.88,1.262,0.03249615361854387,0.09748846085563147,3.050614377441308,3.84
0.0,0.14,0.86,1.264,0.03469870314579498,0.10409610943738477,3.366866414821585,3.9800000000000004
0.0,0.16,0.84,1.266,0.03666060555964675,0.1099818166789401,3.6554153773427656,4.12
0.0,0.18,0.82,1.2679999999999998,0.038418745424597125,0.11525623627379121,3.9191654493391233,4.26
0.0,0.2,0.8,1.27,0.040000000000000036,0.11999999999999994,4.160345749296494,4.4
0.0,0.22,0.78,1.2720000000000002,0.041424630354415994,0.12427389106324781,4.380712791340496,4.54
0.0,0.24,0.76,1.274,0.04270831300812528,0.12812493902437566,4.581678522115092,4.68
0.0,0.26,0.74,1.276,0.04386342439892266,0.13159027319676778,4.764395209030629,4.82
0.0,0.28,0.72,1.278,0.044899888641287335,0.13469966592386182,4.929813881258303,4.960000000000001
0.0,0.3,0.7,1.28,0.04582575694955844,0.13747727084867511,5.078725807284385,5.1
0.0,0.32,0.68,1.282,0.04664761515876245,0.13994284547628713,5.211792670257152,5.24
0.0,0.34,0.66,1.2840000000000003,0.04737087712930809,0.14211263138792404,5.329568963103927,5.380000000000001
0.0,0.36,0.64,1.286,0.04800000000000004,0.1439999999999999,5.432518871514836,5.52
0.0,0.38,0.62,1.288,0.04853864439804643,0.14561593319413907,5.521029148253994,5.66
0.0,0.4,0.6,1.29,0.048989794855663606,0.1469693845669906,5.595418999514958,5.8
0.0,0.42,0.58,1.292,0.0493558507170123,0.1480675521510367,5.655947689597564,5.9399999999999995
