Cu,Ni,Al,std
0.0,0.0,1.0,0.7819156698949365
0.0,0.02,0.98,8.80799982056329
0.0,0.04,0.96,3.344377471158738
0.0,0.06,0.94,3.2188136906778837
0.0,0.08,0.92,8.514178465820962
0.0,0.1,0.9,12.478029406835967
0.0,0.12,0.88,15.214440486761264
0.0,0.14,0.86,17.004356257876356
0.0,0.16,0.84,18.124415262243687
0.0,0.18,0.82,18.794480805496484
0.0,0.2,0.8,19.170609867591928
0.0,0.22,0.78,19.355201615242656
0.0,0.24,0.76,19.411401616178352
0.0,0.26,0.74,19.37630655443908
0.0,0.28,0.72,19.271228772209632
0.0,0.3,0.7,19.108960007089994
0.0,0.32,0.68,18.89857947999132
0.0,0.34,0.66,18.64844694892338
0.0,0.36,0.64,18.36791852973044
0.0,0.38,0.62,18.068173839051866
0.0,0.4,0.6,17.76240839841709
0.0,0.42,0.58,17.46554377730593
0.0,0.44,0.56,17.193543709727894
0.0,0.46,0.54,16.96239932960005
0.0,0.48,0.52,16.786861863250085
0.0,0.5,0.5,16.679050830727686
0.0,0.52,0.48,16.647129368711372
0.0,0.54,0.46,16.694279139878752
0.0,0.56,0.44,16.818187490828535
0.0,0.58,0.42,17.011165708620222
0.0,0.6,0.4,17.260877160616502
0.0,0.62,0.38,17.551523098601944
0.0,0.64,0.36,17.865257789004716
0.0,0.66,0.34,18.183590907042298
0.0,0.68,0.32,18.488554561508888
0.0,0.7,0.3,18.76342268934155
0.0,0.72,0.28,18.992739394550714
0.0,0.74,0.26,19.161327002830213
0.0,0.76,0.24,19.25181240458375
0.0,0.78,0.22,19.24006762929814
0.0,0.8,0.2,19.087891380868207
0.0,0.82,0.18,18.732431549696734
0.0,0.84,0.16,18.07257318883763
0.0,0.86,0.14,16.95431814740586
0.0,0.88,0.12,15.160947495239533
0.0,0.9,0.1,12.421099119477264
0.0,0.92,0.08,8.46273898333488
0.0,0.94,0.06,3.1948741725763985
0.0,0.96,0.04,3.3112603076914606
0.0,0.98,0.02,8.702773318873595
0.0,1.0,0.0,0.7819082064914415
0.02,0.0,0.98,10.944995136202628
0.02,0.02,0.96,3.6584983961205175
0.02,0.04,0.94,3.8263312517272294
0.02,0.06,0.92,9.261597921739556
0.02,0.08,0.9,13.173595680688262
0.02,0.1,0.88,15.762271132127315
0.02,0.12,0.86,17.37213460861384
0.02,0.14,0.84,18.30606304560893
0.02,0.16,0.82,18.787563338157714
0.02,0.18,0.8,18.965307346935802
0.02,0.2,0.78,18.930580035816664
0.02,0.22,0.76,18.735452751974655
0.02,0.24,0.74,18.40741802537813
0.02,0.26,0.72,17.95987061758402
0.02,0.28,0.7,17.399186318058007
0.02,0.3,0.68,16.72941184129021
0.02,0.32,0.66,15.955426779271695
0.02,0.34,0.64,15.085217969400553
0.02,0.36,0.62,14.131748735542999
0.02,0.38,0.6,13.114831547100602
0.02,0.4,0.58,12.063390430161286
0.02,0.42,0.56,11.018431126288517
0.02,0.44,0.54,10.036646006077147
0.02,0.46,0.52,9.1931965764118
0.02,0.48,0.5,8.578954420625365
0.02,0.5,0.48,8.283945970932587
0.02,0.52,0.46,8.364582916621295
0.02,0.54,0.44,8.814645569537461
0.02,0.56,0.42,9.56880205004488
0.02,0.58,0.4,10.534010436143083
0.02,0.6,0.38,11.618770368233498
0.02,0.62,0.36,12.746179358332885
0.02,0.64,0.34,13.855763537587896
0.02,0.66,0.32,14.901495727550312
0.02,0.68,0.3,15.849611087074468
0.02,0.7,0.28,16.67707552895134
0.02,0.72,0.26,17.37040838745212
0.02,0.74,0.24,17.92414987788751
0.02,0.76,0.22,18.3381160233139
0.02,0.78,0.2,18.612608477747465
0.02,0.8,0.18,18.74106383810705
0.02,0.82,0.16,18.700458394326017
0.02,0.84,0.14,18.441405851459997
0.02,0.86,0.12,17.88272390575794
0.02,0.88,0.1,16.920206190766308
0.02,0.9,0.08,15.467648813660364
0.02,0.92,0.06,13.555244101530949
0.02,0.94,0.04,11.462517370030826
0.02,0.96,0.02,9.525452758861956
0.02,0.98,0.0,8.221328089194282
0.04,0.0,0.96,6.789753718930972
0.04,0.02,0.94,4.171291872404645
0.04,0.04,0.92,9.247560713684088
0.04,0.06,0.9,13.253277983055572
0.04,0.08,0.88,15.861557100473172
0.04,0.1,0.86,17.418736091231494
0.04,0.12,0.84,18.250107804081484
0.04,0.14,0.82,18.59287870023512
0.04,0.16,0.8,18.603279965105504
0.04,0.18,0.78,18.37848495643185
0.04,0.2,0.76,17.976977207245728
0.04,0.22,0.74,17.433231673911546
0.04,0.24,0.72,16.767099426393628
0.04,0.26,0.7,15.989541738787315
0.04,0.28,0.68,15.106235306723057
0.04,0.3,0.66,14.120052304224789
0.04,0.32,0.64,13.032953751141457
0.04,0.34,0.62,11.847559646941598
0.04,0.36,0.6,10.568576818618752
0.04,0.38,0.58,9.20436688026295
0.04,0.4,0.56,7.769330814474119
0.04,0.42,0.54,6.289024460738421
0.04,0.44,0.52,4.814354409625921
0.04,0.46,0.5,3.4688607999813157
0.04,0.48,0.48,2.598447683169181
0.04,0.5,0.46,2.7848402825516283
0.04,0.52,0.44,3.898261844265739
0.04,0.54,0.42,5.377567054726638
0.04,0.56,0.4,6.958866368602822
0.04,0.58,0.38,8.537065574446581
0.04,0.6,0.36,10.05634571357187
0.04,0.62,0.34,11.478794821818711
0.04,0.64,0.32,12.775894410486437
0.04,0.66,0.3,13.926867718372769
0.04,0.68,0.28,14.919432092253757
0.04,0.7,0.26,15.751255604327527
0.04,0.72,0.24,16.430958377317737
0.04,0.74,0.22,16.97742398992619
0.04,0.76,0.2,17.41608935866122
0.04,0.78,0.18,17.771253670256147
0.04,0.8,0.16,18.054718513357525
0.04,0.82,0.14,18.25314771187203
0.04,0.84,0.12,18.318212289156858
0.04,0.86,0.1,18.162575958836918
0.04,0.88,0.08,17.657787321111325
0.04,0.9,0.06,16.60919787542961
0.04,0.92,0.04,14.622880889581145
0.04,0.94,0.02,10.601627229372307
0.04,0.96,0.0,3.1268396432730072
0.06,0.0,0.94,7.502977329895438
0.06,0.02,0.92,10.060823656950054
0.06,0.04,0.9,13.58108197000721
0.06,0.06,0.88,16.032746896224378
0.06,0.08,0.86,17.472125012394727
0.06,0.1,0.84,18.16878468611751
0.06,0.12,0.82,18.347404496786808
0.06,0.14,0.8,18.163482577903842
0.06,0.16,0.78,17.720162754555535
0.06,0.18,0.76,17.087244432137236
0.06,0.2,0.74,16.314060055796695
0.06,0.22,0.72,15.436446028408271
0.06,0.24,0.7,14.480063196916538
0.06,0.26,0.68,13.462124444367735
0.06,0.28,0.66,12.392808990098324
0.06,0.3,0.64,11.276925386549037
0.06,0.32,0.62,10.11592730105509
0.06,0.34,0.6,8.910216272544773
0.06,0.36,0.58,7.661783670175723
0.06,0.38,0.56,6.37777346904141
0.06,0.4,0.54,5.077178902417216
0.06,0.42,0.52,3.8087923330215756
0.06,0.44,0.5,2.7119098734104092
0.06,0.46,0.48,2.1800573732761865
0.06,0.48,0.46,2.6490522790591378
0.06,0.5,0.44,3.780131112076082
0.06,0.52,0.42,5.145611455000264
0.06,0.54,0.4,6.573623047848775
0.06,0.56,0.38,7.988802662497322
0.06,0.58,0.36,9.344796784541057
0.06,0.6,0.34,10.606058580665959
0.06,0.62,0.32,11.743614859664932
0.06,0.64,0.3,12.73562278533433
0.06,0.66,0.28,13.57013827881166
0.06,0.68,0.26,14.248961126754192
0.06,0.7,0.24,14.791343764088012
0.06,0.72,0.22,15.235583009540914
0.06,0.74,0.2,15.63555892974485
0.06,0.76,0.18,16.049226451430854
0.06,0.78,0.16,16.518623046229653
0.06,0.8,0.14,17.046581047686345
0.06,0.82,0.12,17.58005458801558
0.06,0.84,0.1,18.0065824996365
0.06,0.86,0.08,18.15528899158848
0.06,0.88,0.06,17.766096729769934
0.06,0.9,0.04,16.335662320200967
0.06,0.92,0.02,12.593239952901339
0.06,0.94,0.0,3.0157056230172588
0.08,0.0,0.92,11.50519533230604
0.08,0.02,0.9,14.14119520644389
0.08,0.04,0.88,16.293687828590596
0.08,0.06,0.86,17.569957438469356
0.08,0.08,0.84,18.119073432769103
0.08,0.1,0.82,18.128582229678585
0.08,0.12,0.8,17.742753607814958
0.08,0.14,0.78,17.06650050722088
0.08,0.16,0.76,16.180703760520316
0.08,0.18,0.74,15.152668142385247
0.08,0.2,0.72,14.040488680859802
0.08,0.22,0.7,12.893639424071724
0.08,0.24,0.68,11.752160228981245
